konto	konto_namn_officiell	konto_namn_ascii	niva	huvudgrupp_kod	huvudgrupp_namn_ascii	huvudkonto_kod	huvudkonto_namn_ascii	k2_blocked	auto_select_policy	sokord	stodfraser	tvetydiga_intentioner
10	IMMATERIELLA ANLÄGGNINGSTILLGÅNGAR	immateriella anlaggningstillgangar	group	10	immateriella anlaggningstillgangar			false	group_only	10 | anläggningstillgang | anläggningstillgangar | balans | bas 10 | immateriella | immateriella anläggningstillgangar | konto 10 | tillgangskonto	balans immateriella anläggningstillgangar | bas konto 10 | bas konto 10 immateriella anläggningstillgangar | bokför immateriella anläggningstillgangar | bokför på konto 10 | immateriella anläggningstillgangar | immateriella anläggningstillgangar immateriella anläggningstillgangar | konto 10 immateriella anläggningstillgangar | konto för immateriella anläggningstillgangar | konto inom immateriella anläggningstillgangar | kostnad eller post immateriella anläggningstillgangar | sök konto 10 | tillgangskonto immateriella anläggningstillgangar	
1010	Utvecklingsutgifter	utvecklingsutgifter	main	10	immateriella anlaggningstillgangar	1010	utvecklingsutgifter	true	exact_name_allowed	1010 | anläggningstillgangar | balans | bas 1010 | immateriella | immateriella anläggningstillgangar | konto 1010 | tillgangskonto | utvecklingsutgift | utvecklingsutgifter	balans utvecklingsutgifter | bas konto 1010 | bas konto 1010 utvecklingsutgifter | bokför på konto 1010 | bokför utvecklingsutgifter | immateriella anläggningstillgangar | immateriella anläggningstillgangar utvecklingsutgifter | konto 1010 utvecklingsutgifter | konto för utvecklingsutgifter | konto inom immateriella anläggningstillgangar | kostnad eller post utvecklingsutgifter | sök konto 1010 | tillgangskonto utvecklingsutgifter | underkonto till utvecklingsutgifter | utvecklingsutgifter	
1011	Balanserade utgifter för forskning och utveckling	balanserade utgifter for forskning och utveckling	sub	10	immateriella anlaggningstillgangar	1010	utvecklingsutgifter	true	exact_name_allowed	1011 | anläggningstillgangar | balans | balanserade | balanserade utgifter | balanserade utgifter för forskning och utveckling | balanserade utgifter forskning | balanserade utgifter forskning utveckling | bas 1011 | forskning | forskning utveckling | immateriella | immateriella anläggningstillgangar | konto 1011 | tillgangskonto | utgift | utgifter | utgifter forskning | utgifter forskning utveckling | utveckling | utvecklingsutgifter	balans balanserade utgifter för forskning och utveckling | balanserade utgifter för forskning och utveckling | balanserade utgifter forskning utveckling | bas konto 1011 balanserade utgifter för forskning och utveckling | immateriella anläggningstillgangar | immateriella anläggningstillgangar balanserade utgifter för forskning och utveckling | konto 1011 balanserade utgifter för forskning och utveckling | tillgangskonto balanserade utgifter för forskning och utveckling | utvecklingsutgifter | utvecklingsutgifter balanserade utgifter för forskning och utveckling	
1012	Balanserade utgifter för programvaror	balanserade utgifter for programvaror	sub	10	immateriella anlaggningstillgangar	1010	utvecklingsutgifter	true	exact_name_allowed	1012 | anläggningstillgangar | balans | balanserade | balanserade utgifter | balanserade utgifter för programvaror | balanserade utgifter programvaror | bas 1012 | immateriella | immateriella anläggningstillgangar | inköpt | inköpt programvara | installerad | installerad programvara | konto 1012 | kop | kop mjukvara | mjukvara | programvar | programvara | programvaror | tillgangskonto | utgift | utgifter | utgifter programvaror | utvecklingsutgifter	balans balanserade utgifter för programvaror | balanserade utgifter för programvaror | balanserade utgifter programvaror | bas konto 1012 balanserade utgifter för programvaror | immateriella anläggningstillgangar | immateriella anläggningstillgangar balanserade utgifter för programvaror | inköpt programvara | installerad programvara | konto 1012 balanserade utgifter för programvaror | kop mjukvara | tillgangskonto balanserade utgifter för programvaror | utvecklingsutgifter | utvecklingsutgifter balanserade utgifter för programvaror	
1018	Ackumulerade nedskrivningar på balanserade utgifter	ackumulerade nedskrivningar pa balanserade utgifter	sub	10	immateriella anlaggningstillgangar	1010	utvecklingsutgifter	true	exact_name_allowed	1018 | ackumulerad nedskrivning | ackumulerade | ackumulerade nedskrivningar | ackumulerade nedskrivningar balanserade | ackumulerade nedskrivningar balanserade utgifter | ackumulerade nedskrivningar på balanserade utgifter | anläggningstillgangar | balans | balanserade | balanserade utgifter | bas 1018 | immateriella | immateriella anläggningstillgangar | konto 1018 | nedskrivning | nedskrivningar | nedskrivningar balanserade | nedskrivningar balanserade utgifter | tillgangskonto | utgift | utgifter | utvecklingsutgifter	ackumulerad nedskrivning balanserade utgifter | ackumulerade nedskrivningar balanserade utgifter | ackumulerade nedskrivningar på balanserade utgifter | balans ackumulerade nedskrivningar på balanserade utgifter | bas konto 1018 ackumulerade nedskrivningar på balanserade utgifter | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade nedskrivningar på balanserade utgifter | konto 1018 ackumulerade nedskrivningar på balanserade utgifter | samlad nedskrivning balanserade utgifter | tillgangskonto ackumulerade nedskrivningar på balanserade utgifter | utvecklingsutgifter | utvecklingsutgifter ackumulerade nedskrivningar på balanserade utgifter	
1019	Ackumulerade avskrivningar på balanserade utgifter	ackumulerade avskrivningar pa balanserade utgifter	sub	10	immateriella anlaggningstillgangar	1010	utvecklingsutgifter	true	exact_name_allowed	1019 | ackumulerad avskrivning | ackumulerade | ackumulerade avskrivningar | ackumulerade avskrivningar balanserade | ackumulerade avskrivningar balanserade utgifter | ackumulerade avskrivningar på balanserade utgifter | anläggningstillgangar | avskrivning | avskrivningar | avskrivningar balanserade | avskrivningar balanserade utgifter | balans | balanserade | balanserade utgifter | bas 1019 | immateriella | immateriella anläggningstillgangar | konto 1019 | tillgangskonto | utgift | utgifter | utvecklingsutgifter	ackumulerad avskrivning balanserade utgifter | ackumulerade avskrivningar balanserade utgifter | ackumulerade avskrivningar på balanserade utgifter | balans ackumulerade avskrivningar på balanserade utgifter | bas konto 1019 ackumulerade avskrivningar på balanserade utgifter | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade avskrivningar på balanserade utgifter | konto 1019 ackumulerade avskrivningar på balanserade utgifter | samlad avskrivning balanserade utgifter | tillgangskonto ackumulerade avskrivningar på balanserade utgifter | utvecklingsutgifter | utvecklingsutgifter ackumulerade avskrivningar på balanserade utgifter	
1020	Koncessioner m.m.	koncessioner m.m.	main	10	immateriella anlaggningstillgangar	1020	koncessioner m.m.	false	exact_name_allowed	1020 | anläggningstillgangar | balans | bas 1020 | immateriella | immateriella anläggningstillgangar | koncession | koncessioner | koncessioner m m | konto 1020 | tillgangskonto	balans koncessioner m m | bas konto 1020 koncessioner m m | immateriella anläggningstillgangar | immateriella anläggningstillgangar koncessioner m m | koncessioner | koncessioner m m | konto 1020 koncessioner m m | tillgangskonto koncessioner m m	
1028	Ackumulerade nedskrivningar på koncessioner m.m.	ackumulerade nedskrivningar pa koncessioner m.m.	sub	10	immateriella anlaggningstillgangar	1020	koncessioner m.m.	false	exact_name_allowed	1028 | ackumulerad nedskrivning | ackumulerade | ackumulerade nedskrivningar | ackumulerade nedskrivningar koncessioner | ackumulerade nedskrivningar på koncessioner m m | anläggningstillgangar | balans | bas 1028 | immateriella | immateriella anläggningstillgangar | koncession | koncessioner | konto 1028 | nedskrivning | nedskrivningar | nedskrivningar koncessioner | tillgangskonto	ackumulerad nedskrivning koncessioner m m | ackumulerade nedskrivningar koncessioner | ackumulerade nedskrivningar på koncessioner m m | balans ackumulerade nedskrivningar på koncessioner m m | bas konto 1028 ackumulerade nedskrivningar på koncessioner m m | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade nedskrivningar på koncessioner m m | koncessioner m m | koncessioner m m ackumulerade nedskrivningar på koncessioner m m | konto 1028 ackumulerade nedskrivningar på koncessioner m m | samlad nedskrivning koncessioner m m | tillgangskonto ackumulerade nedskrivningar på koncessioner m m	
1029	Ackumulerade avskrivningar på koncessioner m.m.	ackumulerade avskrivningar pa koncessioner m.m.	sub	10	immateriella anlaggningstillgangar	1020	koncessioner m.m.	false	exact_name_allowed	1029 | ackumulerad avskrivning | ackumulerade | ackumulerade avskrivningar | ackumulerade avskrivningar koncessioner | ackumulerade avskrivningar på koncessioner m m | anläggningstillgangar | avskrivning | avskrivningar | avskrivningar koncessioner | balans | bas 1029 | immateriella | immateriella anläggningstillgangar | koncession | koncessioner | konto 1029 | tillgangskonto	ackumulerad avskrivning koncessioner m m | ackumulerade avskrivningar koncessioner | ackumulerade avskrivningar på koncessioner m m | balans ackumulerade avskrivningar på koncessioner m m | bas konto 1029 ackumulerade avskrivningar på koncessioner m m | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade avskrivningar på koncessioner m m | koncessioner m m | koncessioner m m ackumulerade avskrivningar på koncessioner m m | konto 1029 ackumulerade avskrivningar på koncessioner m m | samlad avskrivning koncessioner m m | tillgangskonto ackumulerade avskrivningar på koncessioner m m	
1030	Patent	patent	main	10	immateriella anlaggningstillgangar	1030	patent	false	exact_name_allowed	1030 | anläggningstillgangar | balans | bas 1030 | immateriella | immateriella anläggningstillgangar | konto 1030 | patent | tillgangskonto	balans patent | bas konto 1030 | bas konto 1030 patent | bokför på konto 1030 | bokför patent | immateriella anläggningstillgangar | immateriella anläggningstillgangar patent | konto 1030 patent | konto för patent | konto inom immateriella anläggningstillgangar | kostnad eller post patent | patent | sök konto 1030 | tillgangskonto patent | underkonto till patent	
